train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,time/fps,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates
0.3783169984817505,236.38,132,59.12736511230469,-482.30840456999994,768,0.12138522416353226,42,1.3480260372161865,0.0001,32830,32329
-0.0772312805056572,234.68,136,58.99381637573242,-481.2415480899999,772,0.1217474639415741,42,15.917282104492188,0.0001,32960,32459
0.4060097932815552,233.34,140,61.175811767578125,-480.21279447,776,0.12221385538578033,42,2.1747782230377197,0.0001,33087,32586
0.21571797132492065,232.48,144,59.17939376831055,-480.0230533500001,779,0.1226578801870346,42,21.426342010498047,0.0001,33189,32688
0.053874313831329346,230.05,148,58.68084716796875,-476.14613566,782,0.12331026047468185,42,7.581317901611328,0.0001,33280,32779
0.6299648880958557,229.78,152,59.30115509033203,-475.74403466999996,784,0.12458720803260803,42,9.284317970275879,0.0001,33384,32883
0.43229758739471436,212.11,156,58.844425201416016,-457.03597994999996,787,0.12620294094085693,42,6.879177093505859,0.0001,33486,32985
0.6221412420272827,185.51,160,60.048099517822266,-420.2842185400001,791,0.12744492292404175,42,1.8726294040679932,0.0001,33592,33091
0.09565620124340057,172.98,164,57.258583068847656,-399.77225473,794,0.12945234775543213,42,20.70690155029297,0.0001,33711,33210
0.5406898856163025,156.92,168,59.21205139160156,-375.14632436999995,797,0.13134413957595825,42,0.9580267667770386,0.0001,33835,33334
0.40432512760162354,134.25,172,62.334835052490234,-346.09127097000004,801,0.133051335811615,42,2.3977487087249756,0.0001,33973,33472
0.14345937967300415,103.08,176,57.757259368896484,-295.02683416,806,0.13478532433509827,42,20.57196044921875,0.0001,34135,33634
0.5704022645950317,81.55,180,60.43952941894531,-246.24795363,809,0.13593840599060059,42,12.437691688537598,0.0001,34228,33727
0.6047005653381348,61.84,184,59.466800689697266,-229.26087109999997,812,0.137070894241333,42,8.424230575561523,0.0001,34319,33818
0.8987078666687012,46.85,188,60.56809997558594,-215.75328387999997,815,0.1385192722082138,42,10.086849212646484,0.0001,34421,33920
